Date,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Volume,MarketCap
2019-01-01,25772.0,26488.75,25500.42,26437.89,29744288935.72,461542182425.3
2019-01-02,26476.84,27156.19,26258.05,27124.74,36076747744.42,473583739528.82
2019-01-03,26975.25,27007.06,26255.92,26328.1,31086789853.2,459725846726.56
2019-01-04,26334.16,26567.09,26003.02,26510.62,33315703486.4,462961924647.71
2019-01-05,26461.52,26825.12,26357.97,26414.95,35293324445.29,461345649295.55
2019-01-06,26354.97,28118.91,26286.23,28004.43,38448779996.31,489155084110.71
2019-01-07,28017.43,28113.8,27621.13,27651.04,35917520951.45,483030829553.47
2019-01-08,27598.98,28150.82,27383.06,27615.25,36355359294.56,482464739267.8
2019-01-09,27628.77,27881.32,27567.85,27654.43,35059989151.57,483205869074.96
2019-01-10,27501.37,27703.52,24943.5,25078.13,46858976012.28,438238368804.11
2019-01-11,24940.69,25211.32,24798.5,25031.31,37598998410.43,437466905299.73
2019-01-12,24933.89,25015.08,24709.63,24760.28,32313336227.49,432773176541.82
2019-01-13,24744.19,24851.67,23973.63,24027.91,31658712315.82,420013578991.01
2019-01-14,24057.96,25211.22,24023.97,25063.89,38220104203.52,438169802810.63
2019-01-15,25070.67,25178.54,24500.34,24572.94,37476520392.57,429627076232.31
2019-01-16,24552.64,24919.54,24506.42,24711.5,36471924754.99,432091107073.12
2019-01-17,24675.67,24866.65,24473.57,24856.03,36923050279.57,434657414767.04
2019-01-18,24923.54,24954.23,24646.31,24786.98,33902069845.69,433493029289.53
2019-01-19,24758.74,25478.35,24758.74,25275.22,40372440726.35,442073365880.8
2019-01-20,25254.05,25375.68,24288.57,24410.55,37842580226.16,426997583294.24
2019-01-21,24406.21,24463.61,24122.61,24241.21,33923467846.57,424080844123.39
2019-01-22,24304.52,24614.97,24064.14,24505.05,36123681411.53,428736620255.63
2019-01-23,24546.63,24665.85,24272.66,24407.52,36993008456.03,427075107537.38
2019-01-24,24345.57,24560.1,24240.92,24456.72,35744880276.49,427985234944.86
2019-01-25,24488.6,24526.19,24272.77,24436.84,35746958520.49,427679231787.97
2019-01-26,24293.22,24665.86,24250.23,24311.74,34405854286.62,425535443887.57
2019-01-27,24326.77,24380.66,24074.09,24186.93,37595062006.12,423391904805.94
2019-01-28,24184.03,24200.68,23205.34,23415.97,46616225933.12,409939282998.41
2019-01-29,23398.57,23447.1,22939.55,23258.58,39778109927.93,407226402358.75
2019-01-30,23187.41,23532.66,23089.73,23472.11,40095177804.69,411004915810.34
2019-01-31,23409.92,23540.19,23158.09,23224.43,39165517252.58,406713141762.48
2019-02-01,23188.09,23465.54,22994.07,23371.68,36337404987.96,409337370314.87
2019-02-02,23503.45,23764.22,23388.44,23749.2,34207594026.15,415992510516.87
2019-02-03,23716.01,23751.41,23255.9,23364.42,34020854609.97,409292993928.35
2019-02-04,23385.65,23446.43,23219.56,23331.3,35968122344.36,408755677329.42
2019-02-05,23302.95,23459.41,23282.62,23379.89,35258776170.41,409649228625.49
2019-02-06,23398.52,23398.52,22922.83,23025.36,36976611873.09,403484980946.29
2019-02-07,23033.2,23120.99,22893.51,22928.94,33757742570.99,401845424159.75
2019-02-08,22941.79,24926.38,22871.96,24731.9,52175648415.61,433493587371.89
2019-02-09,24764.11,24820.47,24595.31,24761.53,41540101166.45,434059799597.76
2019-02-10,24775.01,24922.28,24557.68,24889.58,42372566358.83,436348266232.47
2019-02-11,24926.37,24926.37,24566.7,24608.13,42337829194.2,431457452851.23
2019-02-12,24742.89,24918.37,24578.55,24816.09,44017117638.73,435144216735.58
2019-02-13,24749.37,24858.72,24503.08,24603.5,43616876937.67,431463280698.2
2019-02-14,24548.16,24650.15,24389.48,24451.56,42394768682.93,428842499505.8
2019-02-15,24497.54,24703.6,24435.5,24520.85,41255918895.97,430096402362.47
2019-02-16,24486.59,24741.06,24486.59,24584.91,40196614936.57,431266096894.92
2019-02-17,24609.47,24929.02,24513.44,24883.63,47680026082.78,436555557413.66
2019-02-18,24866.56,26663.43,24857.16,26521.53,67109342126.86,465341703870.91
2019-02-19,26468.65,27140.02,26444.91,26708.41,67216878122.48,468672804732.4
2019-02-20,26674.07,27037.69,26535.93,27033.19,58755037165.02,474415534193.68
2019-02-21,26886.93,26952.48,26482.65,26576.81,52258968514.95,466447021483.0
2019-02-22,26560.57,26924.34,26549.88,26917.54,52595032361.95,472480526211.66
2019-02-23,26849.52,27973.28,26646.82,27813.75,59905826783.76,488262446609.42
2019-02-24,27833.43,28271.09,25471.72,25583.97,72474601953.0,449163083072.14
2019-02-25,25560.98,26277.41,25560.98,26069.2,62568260550.87,457728530667.45
2019-02-26,25946.16,26032.33,25673.83,25783.34,53055096354.41,452760641756.52
2019-02-27,25845.89,26055.76,25374.05,25802.79,55620435145.64,453147588040.52
2019-02-28,25734.1,26120.59,25717.78,25777.72,56170927221.84,452755365408.52
2019-03-01,25796.28,26158.0,25782.46,25835.28,51282861695.8,453819329292.85
2019-03-02,25855.31,25984.67,25699.78,25916.31,50826370937.47,455285795818.99
2019-03-03,25902.29,25990.93,25732.21,25801.08,48645987748.55,453308272146.86
2019-03-04,25786.83,25936.32,25040.13,25226.62,60553526350.37,443258417506.35
2019-03-05,25217.57,26183.96,25119.32,26133.38,68238883274.92,459239532830.54
2019-03-06,26140.06,26290.51,25968.21,26186.09,61544185456.68,460207669829.48
2019-03-07,26199.13,26440.68,26136.9,26253.49,64327960544.8,461439240894.0
2019-03-08,26277.7,26527.55,26022.55,26196.49,71439524372.86,460485157593.17
2019-03-09,26177.23,26800.22,26162.7,26639.41,72566009797.71,468317209922.05
2019-03-10,26658.64,26658.64,26377.73,26560.68,65287728217.66,466978211270.58
2019-03-11,26575.46,26660.45,26141.91,26249.38,68062262229.37,461551623416.03
2019-03-12,26258.69,26414.28,25988.29,26295.0,65986362398.03,462400893296.26
2019-03-13,26250.68,26341.58,26108.84,26208.21,63524026507.35,460918899507.04
2019-03-14,26195.16,26469.67,26166.45,26321.2,70295881895.59,462956714023.36
2019-03-15,26398.96,26680.51,26313.93,26629.21,63157277896.46,468425040977.39
2019-03-16,26611.64,27371.18,26596.59,27181.12,66169376974.64,478188960303.28
2019-03-17,27174.37,27217.35,26897.04,27023.37,55195882120.6,475463091406.42
2019-03-18,27056.4,27335.62,26916.41,27073.45,64767721015.36,476398930908.15
2019-03-19,27071.86,27404.32,27012.26,27330.31,62733382158.43,480978200565.91
2019-03-20,27323.34,27448.64,27056.99,27435.32,68301188362.51,482880778244.19
2019-03-21,27340.44,27430.19,26812.89,26974.73,72510636284.94,474822718481.05
2019-03-22,26987.82,27157.93,26941.12,26957.37,61987268644.3,474571650247.46
2019-03-23,27024.99,27207.52,26979.65,27113.09,64351675874.64,477361433920.03
2019-03-24,27108.63,27145.82,26914.0,27021.33,61436023939.76,475796285127.42
2019-03-25,27034.39,27133.34,26429.22,26624.3,69598299236.01,468855341591.0
2019-03-26,26631.14,26737.5,26466.93,26737.5,71842100240.52,470893517243.31
2019-03-27,26756.98,27447.49,26713.77,27447.49,73181825341.85,483448499978.91
2019-03-28,27498.0,27547.23,27179.68,27373.7,62925663035.88,482198961503.3
2019-03-29,27416.47,27721.08,27185.98,27619.15,73581422201.56,486573414832.39
2019-03-30,27466.42,28840.17,27209.84,27563.9,65325802261.58,485648039609.53
2019-03-31,27555.82,27606.61,27479.6,27555.47,60710861836.51,485541912089.28
2019-04-01,27555.6,27955.58,27498.81,27910.14,68180130252.49,491791329969.7
2019-04-02,27898.98,32926.09,27888.22,32751.08,143054984241.3,577091231866.32
2019-04-03,32809.83,35681.02,32787.4,33435.54,153964764666.78,589340161826.8
2019-04-04,33364.43,33980.89,32461.66,33038.87,122495199242.12,582406753898.37
2019-04-05,33068.95,33946.95,33046.69,33833.91,113104733288.8,596487927031.21
2019-04-06,33836.67,34972.19,33537.25,33991.35,113732671131.68,599322222040.87
2019-04-07,34011.34,35169.46,33928.16,34925.67,111889420088.72,615858310966.09
2019-04-08,34931.97,35731.41,34585.17,35536.15,115239619984.01,626688477970.11
2019-04-09,35529.21,35529.21,34706.45,34958.58,98879541732.93,616561022868.06
2019-04-10,34929.07,36389.2,34857.1,35737.49,104064178563.62,630364598272.63
2019-04-11,35764.85,35960.58,33697.67,34014.62,111192483869.18,600042089707.0
2019-04-12,34008.23,34290.94,33300.36,34198.65,91889181296.2,603352618482.72
2019-04-13,34116.67,34373.25,33933.91,34168.54,72561498125.0,602879039074.58
2019-04-14,34162.99,34754.68,33880.13,34645.44,69669727937.29,611346580883.69
2019-04-15,34643.79,34840.13,33683.37,33971.92,82398115590.45,599522449785.54
2019-04-16,33990.15,35146.51,33913.79,35123.8,77946105665.83,619914829228.59
2019-04-17,35146.27,35402.28,35032.64,35252.35,83490254113.97,622243607546.85
2019-04-18,35122.95,35581.13,35116.44,35436.66,88662055870.18,625563416012.98
2019-04-19,35545.85,35804.32,35110.97,35583.81,92452999161.47,628229020454.69
2019-04-20,35561.21,35925.46,35505.68,35787.32,88294584847.68,631881101230.85
2019-04-21,35773.87,35935.08,35247.31,35630.74,92063776407.47,629188177146.41
2019-04-22,35617.09,36355.87,35401.09,36199.51,97895179220.83,639292750612.92
2019-04-23,36227.04,37799.99,36160.24,37387.76,106461703750.49,660331458104.07
2019-04-24,37473.28,37947.7,36442.57,36756.02,114662975734.17,649249163364.87
2019-04-25,36745.43,37254.37,34828.44,35024.56,103048632040.57,618727320380.44
2019-04-26,35133.62,36302.4,34911.52,35599.18,113365759346.23,628944551486.29
2019-04-27,35529.26,35739.76,35220.8,35454.02,88234945181.06,626441907775.93
2019-04-28,35476.74,35843.41,35368.65,35566.87,86273418537.55,628485718279.88
2019-04-29,35566.04,35743.82,35105.92,35313.63,92437105126.56,624104900619.53
2019-04-30,35334.84,36112.76,35176.37,36028.39,93452106539.51,636799906328.59
2019-05-01,36037.87,36489.72,36015.86,36386.62,92130254719.67,643190426350.54
2019-05-02,36384.78,37191.89,36329.52,37077.54,98628979762.64,655508572295.55
2019-05-03,37079.34,39506.13,36975.96,38848.85,126082581260.59,686867133562.8
2019-05-04,38853.53,39646.13,38020.23,39270.84,118312749326.42,694422755298.47
2019-05-05,39270.17,39288.99,38441.58,39032.03,99732202975.2,690263431753.65
2019-05-06,39004.74,39080.6,38075.32,38702.45,105983557232.4,684507916371.3
2019-05-07,38866.1,40507.03,38837.67,39433.66,121939643900.94,697503617107.2
2019-05-08,39641.36,40593.52,39270.22,40542.53,103826240696.07,717193734820.48
2019-05-09,40578.05,41939.56,40578.05,41881.83,113850249821.43,740965428888.26
2019-05-10,42165.78,43932.71,42068.12,43551.95,132590286585.39,770580392092.89
2019-05-11,43535.17,50040.78,43508.09,49165.72,196993688713.26,869987456098.58
2019-05-12,49157.1,51206.8,46511.16,47579.81,189526617696.81,842017552042.91
2019-05-13,47572.02,54916.35,47074.57,53329.76,195699302733.45,943886131317.72
2019-05-14,53704.97,56874.69,52938.09,54987.99,220321937851.71,973338993618.99
2019-05-15,54934.94,56496.13,54314.26,56418.73,194894120434.97,998768789998.23
2019-05-16,56346.89,57215.51,53150.2,54218.08,228063720164.26,959912116313.78
2019-05-17,54291.23,54581.86,48448.34,50553.17,206969763533.44,895120398789.18
2019-05-18,50793.67,51524.32,50169.9,50306.22,147740699293.43,890844446912.19
2019-05-19,50283.77,57160.65,50283.77,56716.13,179207202002.41,1004470212437.17
2019-05-20,56712.06,56740.04,53127.19,55199.53,164965361603.78,977720904030.38
2019-05-21,55145.32,55727.32,54214.73,55044.11,173684543278.83,975073457908.88
2019-05-22,54916.72,55201.92,52567.83,53010.12,170621219695.59,939153849793.4
2019-05-23,53022.29,54863.0,52027.27,54435.19,168910569448.76,964507124823.68
2019-05-24,54465.86,56255.83,54070.27,55196.13,179112183136.73,978095442747.46
2019-05-25,55146.24,56015.95,54967.46,55564.8,153578220086.21,984726318569.79
2019-05-26,55582.53,59945.63,54681.81,59846.93,184083329225.35,1060736598961.49
2019-05-27,59853.7,61462.18,59816.66,60762.51,192862277943.04,1077093735984.27
2019-05-28,60723.27,60752.64,59564.11,60152.12,167122352527.57,1066395524730.87
2019-05-29,60247.96,60505.44,58618.08,59839.54,162208459981.1,1060984910891.14
2019-05-30,59890.88,62287.09,56845.17,57524.16,202222197014.42,1020047835857.31
2019-05-31,57425.78,59264.26,56406.13,59180.35,175068011468.81,1049502130037.64
2019-06-01,59203.22,59560.63,58566.15,59135.39,155283984801.31,1048817118831.47
2019-06-02,59145.45,60829.12,59116.18,60371.0,139940248254.64,1070823790203.34
2019-06-03,60361.76,60373.87,56649.9,56683.11,151941151465.66,1005499521890.85
2019-06-04,56687.0,56687.0,52223.72,53212.91,169900664666.54,944044876836.93
2019-06-05,53224.68,54589.13,52978.23,54052.92,150333163651.99,959056223572.21
2019-06-06,54026.63,54839.88,52312.05,54043.14,134552035394.65,958988092409.26
2019-06-07,54082.32,56150.1,53816.1,55582.1,132263406240.12,986406381751.58
2019-06-08,55532.51,55809.7,54156.32,54961.43,114168710071.88,975476101132.71
2019-06-09,54930.66,55112.39,52398.53,53123.08,114776798294.79,942946537844.44
2019-06-10,53151.38,55498.09,52422.03,55279.88,129137284279.21,981338748953.3
2019-06-11,55477.28,55630.81,53873.18,54946.86,118570283492.11,975525861642.81
2019-06-12,54775.05,56649.5,54339.13,56298.46,131552675986.93,999613696442.09
2019-06-13,56350.56,57499.1,55945.97,56941.21,129154230539.07,1011131373778.84
2019-06-14,56972.44,60293.07,56643.61,60176.76,137266867454.63,1068714463734.99
2019-06-15,60179.97,61353.0,59685.84,61209.28,127226753506.48,1087164104285.74
2019-06-16,61230.51,64654.61,61044.33,62290.43,161698050323.57,1106467164604.74
2019-06-17,62253.64,65214.21,62253.64,64548.98,107782686431.36,1146693953492.05
2019-06-18,64655.05,64744.45,62365.64,62897.96,109760649026.98,1117493984617.6
2019-06-19,62672.27,64197.14,62614.76,64016.98,107322738419.43,1137515204232.91
2019-06-20,64017.94,66236.49,63737.81,65772.15,123208171475.26,1168820469609.3
2019-06-21,65265.81,69510.5,65265.81,69510.5,141315707224.84,1235369290952.16
2019-06-22,69908.19,76650.52,69434.93,73520.19,206065857584.39,1306763428972.84
2019-06-23,73485.84,77260.56,72519.96,74575.96,144257663135.41,1325696801933.28
2019-06-24,74565.33,76022.82,72893.75,75646.38,132396444463.05,1344891491453.16
2019-06-25,75697.63,81087.31,75697.63,81087.31,171100078502.21,1441769871282.28
2019-06-26,81034.28,94917.09,80876.16,89549.07,310318423084.91,1592413073971.84
2019-06-27,89557.9,91580.75,72184.01,76937.77,275045269396.56,1368288307102.75
2019-06-28,76763.34,85586.71,75060.07,85326.46,241302018931.62,1517648466268.55
2019-06-29,85153.56,85154.57,79025.73,82122.61,205481856272.21,1460841061986.62
2019-06-30,81934.59,83626.52,74154.63,74279.24,187164752191.83,1321461177505.61
2019-07-01,74140.36,76952.38,69281.3,72672.27,201736897173.1,1293002217691.94
2019-07-02,72550.48,74767.04,66721.06,74009.86,212511609299.17,1316941528233.48
